TotalEarnings,Age,Gender,EconomicStatus,PartnersEconomicStatus,AgeBand,WorkingStatus,HighestEducationalLevel,EmploymentType,SocioEconomicGroup,AnnualNetHouseholdIncome,EmploymentStatus,PropertyType,TotalSavings,CreditCardDebt,LoanDebt,HousingCostMonthly,FinancialHealth,EconomicStat,PartnerEconomicStat,Occupation
36000,50,Male,2,2,46-50,Working Couple,Highers and A-Levels (SVQ Level 3),2,Junior non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,450,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
20000,64,Male,2,5,61-65,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),7,Skilled manual workers,£30001 - £40000,5,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Full-Time,Retired,Routine occupations
41000,34,Female,2,2,31-35,Working Couple,Highers and A-Levels (SVQ Level 3),2,Employers and managers - small establishments,£40001,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,450,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
41000,41,Male,2,3,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Full-Time,Part-Time,Lower managerial and professional occupations
54000,60,Male,2,4,61-65,"Couple, one works",Standard Grade (SVQ Level 1 and 2),1,Intermediate non-manual workers,£40001,4,Own it outright,"£1,000 or more",Yes,No,NA,Manage very well,Full-Time,Homemaker,Higher managerial and professional occupations
5000,64,Female,3,NA,61-65,Single Working Adult,NA,7,Skilled manual workers,£10001 -£15000,3,Buying with mortgage/loan,No savings,No,No,480,Get by alright,Part-Time,NA,Routine occupations
0,59,Male,5,5,56-60,"Couple, neither work",Degree and Professional Qualifications (SVQ Level 4),9,Inadequately described and not stated,£20001 - £25000,5,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Retired,Retired,Not classified
30000,38,Male,2,NA,36-40,Single Working Adult,No Qualifications,7,Skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,280,Get by alright,Full-Time,NA,Routine occupations
37000,29,Female,2,1,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Employers and managers - small establishments,£30001 - £40000,1,Buying with mortgage/loan,"£1,000 or more",Yes,No,320,Manage quite well,Full-Time,Self-Employed,Lower managerial and professional occupations
0,62,Male,5,5,61-65,"Couple, neither work",Standard Grade (SVQ Level 1 and 2),3,Skilled manual workers,£6001 - £10000,5,Own it outright,Refusal,No,No,NA,Get by alright,Retired,Retired,Intermediate occupations
45000,32,Male,2,3,26-30,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,3,Buying with mortgage/loan,"Less than £1,000",No,Yes,700,Get by alright,Full-Time,Part-Time,Higher managerial and professional occupations
34000,44,Female,3,NA,41-45,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,3,Buying with mortgage/loan,"£1,000 or more",No,No,820,Manage very well,Part-Time,NA,Lower managerial and professional occupations
59000,47,Male,2,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Employers and managers - small establishments,£40001,2,Buying with mortgage/loan,"Less than £1,000",Yes,Yes,750,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
46000,27,Female,2,2,26-30,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,810,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
26000,27,Male,2,8,31-35,"Couple, one works",NA,1,Professional workers - employees,£30001 - £40000,8,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,720,Manage quite well,Full-Time,Student,Higher managerial and professional occupations
10000,29,Female,3,4,26-30,"Couple, one works",No Qualifications,6,Junior non-manual workers,£15001 - £20000,3,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,340,Get by alright,Part-Time,Homemaker,Semi-routine occupations
0,46,Female,4,NA,46-50,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£0 - £6000,4,Buying with mortgage/loan,"£1,000 or more",No,No,500,Get by alright,Homemaker,NA,Not classified
6000,57,Female,3,NA,56-60,Single Working Adult,No Qualifications,7,Unskilled manual workers,£10001 -£15000,3,Rents (including rents paid by housing benefit),No savings,No,No,240,Don't manage very well,Part-Time,NA,Routine occupations
37000,26,Male,2,2,26-30,Working Couple,HNC/HND (SVQ Level 4),5,Skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,"Less than £1,000",Yes,No,450,Manage quite well,Full-Time,Full-Time,Lower supervisory and technical occupations
42000,25,Female,2,1,31-35,Working Couple,Standard Grade (SVQ Level 1 and 2),5,Foremen and supervisors,£40001,1,Buying with mortgage/loan,"Less than £1,000",No,No,430,Manage very well,Full-Time,Self-Employed,Lower supervisory and technical occupations
0,60,Male,6,6,56-60,"Couple, neither work",No Qualifications,7,Personal service workers,£10001 -£15000,6,Rents (including rents paid by housing benefit),No savings,No,No,800,Don't manage very well,Unemployed,Unemployed,Routine occupations
14000,49,Female,3,NA,46-50,Single Working Adult,No Qualifications,6,Junior non-manual workers,£10001 -£15000,3,Own it outright,No savings,No,No,NA,Manage quite well,Part-Time,NA,Semi-routine occupations
14000,18,Female,2,NA,16-20,Single Working Adult,Standard Grade (SVQ Level 1 and 2),6,Junior non-manual workers,£10001 -£15000,2,Rents (including rents paid by housing benefit),No savings,No,No,630,Manage quite well,Full-Time,NA,Semi-routine occupations
0,31,Female,10,NA,31-35,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£20001 - £25000,10,Rents (including rents paid by housing benefit),No savings,No,No,420,Have some financial difficulties,Disabled,NA,Not classified
12000,36,Female,2,NA,36-40,Single Working Adult,NA,2,Intermediate non-manual workers,£30001 - £40000,2,Living here rent free,No savings,No,No,NA,Get by alright,Full-Time,NA,Lower managerial and professional occupations
38000,58,Male,2,2,56-60,Working Couple,Highers and A-Levels (SVQ Level 3),5,Skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",No,No,240,Manage very well,Full-Time,Full-Time,Lower supervisory and technical occupations
60000,51,Male,1,NA,51-55,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),4,Employers and managers - small establishments,£40001,1,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Self-Employed,NA,Small employers and own account workers
0,30,Male,6,NA,26-30,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),1,Intermediate non-manual workers,NA,6,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,350,Manage quite well,Unemployed,NA,Higher managerial and professional occupations
17000,61,Male,2,NA,61-65,Single Working Adult,NA,2,Intermediate non-manual workers,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Get by alright,Full-Time,NA,Lower managerial and professional occupations
0,58,Male,1,8,41-45,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),4,Own account workers (other than professional),£10001 -£15000,8,Rents (including rents paid by housing benefit),No savings,No,No,550,Manage quite well,Self-Employed,Student,Small employers and own account workers
14000,48,Male,3,4,46-50,"Couple, one works",No Qualifications,6,Semi-skilled manual workers,£10001 -£15000,4,Rents (including rents paid by housing benefit),No savings,No,No,340,Get by alright,Part-Time,Homemaker,Semi-routine occupations
12000,56,Male,2,NA,56-60,Single Working Adult,No Qualifications,5,Foremen and supervisors,£10001 -£15000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,400,Manage very well,Full-Time,NA,Lower supervisory and technical occupations
16000,56,Male,1,4,56-60,"Couple, one works",NA,4,Own account workers (other than professional),£15001 - £20000,1,Buying with mortgage/loan,"£1,000 or more",No,No,600,Manage quite well,Self-Employed,Homemaker,Small employers and own account workers
20000,63,Male,2,5,66-70,"Couple, one works",Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£15001 - £20000,5,Buying with mortgage/loan,"Less than £1,000",No,No,580,Get by alright,Full-Time,Retired,Not classified
0,60,Male,5,NA,56-60,Non-Working Single,HNC/HND (SVQ Level 4),9,Inadequately described and not stated,NA,5,Own it outright,No savings,No,No,NA,Get by alright,Retired,NA,Not classified
12000,41,Female,3,NA,41-45,Single Working Adult,No Qualifications,7,Unskilled manual workers,£10001 -£15000,3,Buying with mortgage/loan,No savings,No,No,400,Don't manage very well,Part-Time,NA,Routine occupations
16000,33,Male,2,4,36-40,"Couple, one works",Highers and A-Levels (SVQ Level 3),2,Intermediate non-manual workers,£25001 - £30000,4,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,Yes,480,Get by alright,Full-Time,Homemaker,Lower managerial and professional occupations
23000,34,Male,2,3,31-35,Working Couple,Standard Grade (SVQ Level 1 and 2),2,Employers and managers - small establishments,£30001 - £40000,2,Buying with mortgage/loan,"Less than £1,000",Yes,Yes,280,Manage quite well,Full-Time,Part-Time,Lower managerial and professional occupations
22000,49,Female,2,NA,46-50,Single Working Adult,NA,2,Intermediate non-manual workers,£20001 - £25000,2,Buying with mortgage/loan,"£1,000 or more",No,No,260,Manage quite well,Full-Time,NA,Lower managerial and professional occupations
0,64,Male,5,NA,61-65,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£0 - £6000,5,Rents (including rents paid by housing benefit),No savings,No,No,530,Manage quite well,Retired,NA,Not classified
0,30,Male,6,NA,26-30,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£0 - £6000,6,Rents (including rents paid by housing benefit),No savings,No,No,240,Don't manage very well,Unemployed,NA,Not classified
0,53,Male,10,NA,51-55,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,NA,10,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Disabled,NA,Not classified
31000,49,Female,2,2,46-50,Working Couple,HNC/HND (SVQ Level 4),3,Junior non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",No,No,700,Manage very well,Full-Time,Full-Time,Intermediate occupations
41000,43,Female,2,2,41-45,Working Couple,Highers and A-Levels (SVQ Level 3),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"Less than £1,000",Yes,Yes,560,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
17000,19,Female,2,NA,16-20,Single Working Adult,Highers and A-Levels (SVQ Level 3),6,Semi-skilled manual workers,£15001 - £20000,8,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,360,Manage quite well,Full-Time,NA,Semi-routine occupations
0,26,Female,4,6,26-30,"Couple, neither work",NA,9,Inadequately described and not stated,£15001 - £20000,4,Rents (including rents paid by housing benefit),No savings,No,No,470,Have some financial difficulties,Homemaker,Unemployed,Not classified
10000,42,Male,3,4,41-45,"Couple, one works",No Qualifications,5,Foremen and supervisors,£10001 -£15000,3,Rents (including rents paid by housing benefit),No savings,No,No,430,Have some financial difficulties,Part-Time,Homemaker,Lower supervisory and technical occupations
32000,51,Female,2,2,51-55,Working Couple,Other Qualifications,6,Semi-skilled manual workers,£40001,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,430,Manage quite well,Full-Time,Full-Time,Semi-routine occupations
6000,23,Female,8,NA,21-25,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),7,Unskilled manual workers,£15001 - £20000,8,Rents (including rents paid by housing benefit),Don't know,No,No,250,Get by alright,Student,NA,Routine occupations
0,53,Male,10,NA,81-85,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£15001 - £20000,5,Rents (including rents paid by housing benefit),No savings,No,No,730,Manage quite well,Disabled,NA,Not classified
0,30,Female,6,NA,26-30,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£10001 -£15000,6,Rents (including rents paid by housing benefit),No savings,No,No,500,Get by alright,Unemployed,NA,Lower managerial and professional occupations
62000,54,Female,2,2,51-55,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,300,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
41000,26,Male,8,NA,26-30,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,8,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,500,Manage quite well,Student,NA,Higher managerial and professional occupations
0,24,Female,8,NA,21-25,Non-Working Single,Highers and A-Levels (SVQ Level 3),9,Inadequately described and not stated,£10001 -£15000,8,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,380,Get by alright,Student,NA,Not classified
0,26,Female,8,NA,26-30,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),6,Semi-skilled manual workers,£15001 - £20000,8,Buying with mortgage/loan,"£1,000 or more",No,No,250,Manage very well,Student,NA,Semi-routine occupations
55000,64,Male,1,2,61-65,Working Couple,HNC/HND (SVQ Level 4),1,Professional workers - self-employed,£40001,1,Own it outright,"£1,000 or more",Yes,Yes,NA,Manage quite well,Self-Employed,Full-Time,Higher managerial and professional occupations
18000,46,Female,2,NA,46-50,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),3,Junior non-manual workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,330,Get by alright,Full-Time,NA,Intermediate occupations
0,23,Male,8,NA,21-25,Non-Working Single,Highers and A-Levels (SVQ Level 3),9,Inadequately described and not stated,£0 - £6000,8,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,1000,Get by alright,Student,NA,Not classified
29000,39,Male,2,3,36-40,Working Couple,HNC/HND (SVQ Level 4),4,Own account workers (other than professional),£25001 - £30000,3,Buying with mortgage/loan,No savings,No,No,580,Get by alright,Full-Time,Part-Time,Small employers and own account workers
40000,58,Male,2,1,51-55,Working Couple,No Qualifications,1,Professional workers - employees,£40001,1,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,Self-Employed,Higher managerial and professional occupations
36000,45,Male,2,2,41-45,Working Couple,HNC/HND (SVQ Level 4),3,Intermediate non-manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,430,Manage quite well,Full-Time,Full-Time,Intermediate occupations
0,51,Male,10,NA,51-55,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,270,Get by alright,Disabled,NA,Not classified
17000,56,Male,2,NA,56-60,Single Working Adult,No Qualifications,7,Unskilled manual workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,260,Get by alright,Full-Time,NA,Routine occupations
35000,32,Male,4,NA,31-35,Non-Working Single,HNC/HND (SVQ Level 4),5,Foremen and supervisors,£30001 - £40000,4,Buying with mortgage/loan,Refusal,No,No,380,Get by alright,Homemaker,NA,Lower supervisory and technical occupations
43000,36,Female,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,700,Manage quite well,Full-Time,Full-Time,Higher managerial and professional occupations
0,56,Male,5,5,56-60,"Couple, neither work",HNC/HND (SVQ Level 4),4,Own account workers (other than professional),NA,5,Own it outright,"£1,000 or more",Yes,No,NA,Get by alright,Retired,Retired,Small employers and own account workers
56000,32,Male,2,2,31-35,Working Couple,HNC/HND (SVQ Level 4),2,Employers and managers - small establishments,£40001,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,770,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
40000,44,Male,2,2,41-45,Working Couple,Highers and A-Levels (SVQ Level 3),2,Employers and managers - small establishments,£40001,2,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,640,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
17000,55,Male,2,NA,51-55,Single Working Adult,Other Qualifications,9,Inadequately described and not stated,£15001 - £20000,2,Rents (including rents paid by housing benefit),Refusal,No,No,260,Refused,Full-Time,NA,Not classified
10000,50,Female,3,NA,46-50,Single Working Adult,Other Qualifications,6,Junior non-manual workers,£6001 - £10000,3,Rents (including rents paid by housing benefit),Refusal,No,No,500,Refused,Part-Time,NA,Semi-routine occupations
31000,64,Female,3,3,61-65,Working Couple,Highers and A-Levels (SVQ Level 3),6,Semi-skilled manual workers,£40001,3,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,300,Manage very well,Part-Time,Part-Time,Semi-routine occupations
4000,34,Female,3,NA,31-35,Single Working Adult,No Qualifications,7,Unskilled manual workers,£20001 - £25000,3,Rents (including rents paid by housing benefit),No savings,No,No,370,Have some financial difficulties,Part-Time,NA,Routine occupations
0,63,Male,5,5,61-65,"Couple, neither work",Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£15001 - £20000,5,Rents (including rents paid by housing benefit),No savings,No,No,410,Get by alright,Retired,Retired,Not classified
16000,40,Male,2,NA,36-40,Single Working Adult,HNC/HND (SVQ Level 4),7,Semi-skilled manual workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,370,Have some financial difficulties,Full-Time,NA,Routine occupations
23000,47,Male,1,NA,46-50,Single Working Adult,Highers and A-Levels (SVQ Level 3),4,Own account workers (other than professional),£20001 - £25000,1,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,500,Get by alright,Self-Employed,NA,Small employers and own account workers
31000,47,Male,2,NA,46-50,Single Working Adult,Standard Grade (SVQ Level 1 and 2),5,Skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,340,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
24000,45,Male,2,NA,41-45,Single Working Adult,Standard Grade (SVQ Level 1 and 2),7,Skilled manual workers,£20001 - £25000,2,Buying with mortgage/loan,Refusal,No,No,530,Manage quite well,Full-Time,NA,Routine occupations
55000,52,Male,2,3,46-50,Working Couple,No Qualifications,6,Skilled manual workers,£40001,3,Buying with mortgage/loan,"£1,000 or more",No,No,270,Manage quite well,Full-Time,Part-Time,Semi-routine occupations
0,39,Male,4,NA,36-40,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£15001 - £20000,4,Rents (including rents paid by housing benefit),No savings,No,No,450,Have some financial difficulties,Homemaker,NA,Not classified
0,35,Female,8,NA,31-35,Non-Working Single,HNC/HND (SVQ Level 4),6,Personal service workers,£15001 - £20000,8,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,330,Manage quite well,Student,NA,Semi-routine occupations
16000,35,Male,2,NA,31-35,Single Working Adult,Standard Grade (SVQ Level 1 and 2),5,Skilled manual workers,£15001 - £20000,2,Buying with mortgage/loan,No savings,No,No,240,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
24000,54,Male,2,5,51-55,"Couple, one works",NA,1,Employers and managers - large establishments,£20001 - £25000,5,Buying with mortgage/loan,"£1,000 or more",Yes,No,540,Manage very well,Full-Time,Retired,Higher managerial and professional occupations
17000,57,Male,1,4,56-60,"Couple, one works",Standard Grade (SVQ Level 1 and 2),4,Employers and managers - small establishments,£15001 - £20000,1,Buying with mortgage/loan,"£1,000 or more",No,No,240,Get by alright,Self-Employed,Homemaker,Small employers and own account workers
37000,56,Male,2,3,56-60,Working Couple,Standard Grade (SVQ Level 1 and 2),6,Skilled manual workers,£30001 - £40000,2,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,Part-Time,Semi-routine occupations
26000,58,Male,2,NA,56-60,Single Working Adult,Other Qualifications,5,Skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",No,No,450,Manage quite well,Full-Time,NA,Lower supervisory and technical occupations
14000,51,Female,2,NA,51-55,Single Working Adult,Standard Grade (SVQ Level 1 and 2),7,Semi-skilled manual workers,£15001 - £20000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,240,Get by alright,Full-Time,NA,Routine occupations
40000,33,Male,2,2,31-35,Working Couple,HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,380,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
0,22,Female,4,NA,21-25,Non-Working Single,Other Qualifications,6,Semi-skilled manual workers,£15001 - £20000,4,Rents (including rents paid by housing benefit),No savings,No,No,420,Get by alright,Homemaker,NA,Semi-routine occupations
48000,24,Male,2,2,21-25,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,250,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
0,28,Female,4,NA,26-30,Non-Working Single,Other Qualifications,9,Inadequately described and not stated,£15001 - £20000,4,Buying with mortgage/loan,No savings,No,No,240,Don't manage very well,Homemaker,NA,Not classified
5000,45,Female,3,6,41-45,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),6,Semi-skilled manual workers,£6001 - £10000,3,Own it outright,No savings,Yes,No,NA,Get by alright,Part-Time,Unemployed,Semi-routine occupations
9000,31,Female,3,NA,31-35,Single Working Adult,Highers and A-Levels (SVQ Level 3),7,Unskilled manual workers,£15001 - £20000,3,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,370,Manage quite well,Part-Time,NA,Routine occupations
31000,30,Male,1,4,21-25,"Couple, one works",HNC/HND (SVQ Level 4),4,Farmers - own account,£30001 - £40000,4,Buying with mortgage/loan,No savings,No,No,300,Manage quite well,Self-Employed,Homemaker,Small employers and own account workers
0,60,Male,10,10,56-60,"Couple, neither work",Other Qualifications,7,Skilled manual workers,£10001 -£15000,10,Own it outright,"Less than £1,000",No,No,NA,Manage quite well,Disabled,Disabled,Routine occupations
36000,56,Male,2,2,56-60,Working Couple,Highers and A-Levels (SVQ Level 3),2,Employers and managers - small establishments,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,240,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
49000,40,Male,2,3,36-40,Working Couple,HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,860,Manage quite well,Full-Time,Part-Time,Lower managerial and professional occupations
47000,52,Male,2,2,51-55,Working Couple,Degree and Professional Qualifications (SVQ Level 4),5,Foremen and supervisors,£40001,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,340,Get by alright,Full-Time,Full-Time,Lower supervisory and technical occupations
0,49,Male,5,NA,46-50,Non-Working Single,HNC/HND (SVQ Level 4),9,Inadequately described and not stated,£15001 - £20000,5,Rents (including rents paid by housing benefit),No savings,No,No,500,Have some financial difficulties,Retired,NA,Not classified
38000,57,Female,2,2,56-60,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Employers and managers - large establishments,£30001 - £40000,2,Buying with mortgage/loan,Refusal,No,No,340,Manage quite well,Full-Time,Full-Time,Higher managerial and professional occupations
62000,42,Male,1,2,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - self-employed,£40001,1,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,860,Manage quite well,Self-Employed,Full-Time,Higher managerial and professional occupations
16000,31,Male,2,NA,31-35,Single Working Adult,Standard Grade (SVQ Level 1 and 2),5,Skilled manual workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,Yes,360,Manage very well,Full-Time,NA,Lower supervisory and technical occupations
0,47,Male,11,NA,46-50,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£10001 -£15000,11,Rents (including rents paid by housing benefit),No savings,Yes,No,330,Have some financial difficulties,Short-Term_Disabled,NA,Not classified
12000,49,Female,3,NA,46-50,Single Working Adult,Highers and A-Levels (SVQ Level 3),6,Personal service workers,£20001 - £25000,3,Rents (including rents paid by housing benefit),No savings,No,No,300,Get by alright,Part-Time,NA,Semi-routine occupations
28000,46,Male,2,NA,46-50,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),1,Intermediate non-manual workers,£25001 - £30000,2,Buying with mortgage/loan,"£1,000 or more",No,No,400,Get by alright,Full-Time,NA,Higher managerial and professional occupations
35000,63,Male,1,2,56-60,Working Couple,NA,4,Own account workers (other than professional),£30001 - £40000,2,Own it outright,Refusal,No,No,NA,Manage very well,Self-Employed,Full-Time,Small employers and own account workers
46000,35,Male,2,3,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Junior non-manual workers,£40001,3,Buying with mortgage/loan,No savings,Yes,Yes,860,Get by alright,Full-Time,Part-Time,Lower managerial and professional occupations
40000,41,Male,2,2,41-45,Working Couple,HNC/HND (SVQ Level 4),6,Semi-skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,330,Manage very well,Full-Time,Full-Time,Semi-routine occupations
26000,62,Male,2,3,61-65,Working Couple,Highers and A-Levels (SVQ Level 3),5,Skilled manual workers,£25001 - £30000,3,Own it outright,No savings,No,No,NA,Manage quite well,Full-Time,Part-Time,Lower supervisory and technical occupations
48000,48,Female,2,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,240,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
28000,64,Female,2,5,66-70,"Couple, one works",Highers and A-Levels (SVQ Level 3),3,Junior non-manual workers,£40001,5,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,Retired,Intermediate occupations
40000,47,Female,1,NA,46-50,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),4,Own account workers (other than professional),£30001 - £40000,1,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Self-Employed,NA,Small employers and own account workers
0,28,Male,6,NA,26-30,Non-Working Single,No Qualifications,7,Unskilled manual workers,£6001 - £10000,6,Rents (including rents paid by housing benefit),No savings,No,No,450,Don't manage very well,Unemployed,NA,Routine occupations
16000,42,Male,2,4,41-45,"Couple, one works",Standard Grade (SVQ Level 1 and 2),6,Skilled manual workers,£20001 - £25000,2,Buying with mortgage/loan,No savings,Yes,No,240,Have some financial difficulties,Full-Time,Homemaker,Semi-routine occupations
60000,31,Male,2,1,31-35,Working Couple,Highers and A-Levels (SVQ Level 3),5,Foremen and supervisors,£40001,1,Rents (including rents paid by housing benefit),No savings,Yes,Yes,380,Manage quite well,Full-Time,Self-Employed,Lower supervisory and technical occupations
40000,45,Female,2,2,46-50,Working Couple,HNC/HND (SVQ Level 4),5,Foremen and supervisors,£30001 - £40000,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,370,Manage quite well,Full-Time,Full-Time,Lower supervisory and technical occupations
21000,61,Female,2,5,61-65,"Couple, one works",Highers and A-Levels (SVQ Level 3),3,Junior non-manual workers,£30001 - £40000,5,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Full-Time,Retired,Intermediate occupations
47000,50,Female,3,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,3,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Part-Time,Full-Time,Lower managerial and professional occupations
6000,40,Male,3,NA,36-40,Single Working Adult,No Qualifications,7,Personal service workers,£0 - £6000,3,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,430,Manage very well,Part-Time,NA,Routine occupations
59000,48,Female,2,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),3,Junior non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,330,Manage quite well,Full-Time,Full-Time,Intermediate occupations
14000,63,Male,3,NA,61-65,Single Working Adult,No Qualifications,6,Agricultural workers,£10001 -£15000,3,Living here rent free,Refusal,No,No,NA,Refused,Part-Time,NA,Semi-routine occupations
